Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SOM052,20/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM053,21/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM054,28/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM055,29/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM056,29/07/2017,Shabeellaha Hoose,Wanlaweyn,Tortoroow,1,1,0,0,0,0,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,TORTOROOW,-3229928.0,SO-SH,TORTOROOW,Tortoroow,Tortoroow,PPL,2.252412,44.690529
SOM057,10/08/2017,Banadiir,unclear,Unknown,0,1,0,0,0,0,0,0,BANAADIR,-3216059.0,SO-BN,BANAADIR,Banaadir,Banaadir,ADM1,2.116667,45.4,,,,,,,,,,,,,,,,,,
SOM058,16/08/2017,Jubbada Dhexe,Jillib,Unknown,7,7,0,7,0,0,0,0,JUBBADADHEXE,-3224955.0,SO-JD,JUBBADADHEXE,Jubbada Dhexe,Jubbada Dhexe,ADM1,1.33333,42.66667,unclear,,,,,,,,,,,,,,,,,
SOM059,25/08/2017,Shabeellaha Hoose,Afgooye,Bariire,0,10,0,10,0,3,0,0,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,BARIIRRE,-3216239.0,SO-SH,BARIIRRE,Bariirre,Bariirre,PPL,2.047573,44.897461
SOM060,31/08/2017,Shabeellaha Hoose,Barawe,Unknown,1,1,0,0,0,0,1,1,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,,,,,,,,,
SOM061,05/09/2017,Bay,unclear,unclear,3,3,0,0,0,0,0,0,BAY,-3216354.0,SO-BY,BAY,Bay,Bay,ADM1,3.0,43.5,,,,,,,,,,,,,,,,,,
