Strike ID,Date,Loc,Adm_3,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
Ob280,14/06/2012,unclear,Miranshah,North Waziristan,Khyber Pakhtunkhwa,1,4,0,0,0,0,2,3
Ob281,26/06/2012,Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,2,7
Ob282,01/07/2012,Dre Nishter/Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,6,9,0,0,0,0,2,3
Ob283,06/07/2012,Maizer,unclear,North Waziristan,Khyber Pakhtunkhwa,13,24,3,18,0,0,2,22
Ob284,23/07/2012,Dre Nishter/Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,11,14,6,14,0,0,2,11
Ob285,29/07/2012,Kushhali Turkhel,unclear,North Waziristan,Khyber Pakhtunkhwa,4,7,0,3,0,0,4,4
Ob286,18/08/2012,"Mammon Narai, Shuweda",unclear,North Waziristan,Khyber Pakhtunkhwa,5,12,1,1,0,0,2,9
Ob287,19/08/2012,"Mana, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,7,0,0,0,0,2,3
Ob288,19/08/2012,"Mana, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,2,3,0,0,0,0,2,2
Ob289,21/08/2012,Shnakhura,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,25,1,3,1,1,2,2
Ob290,24/08/2012,"Makai/Maki Ghar, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,13,22,0,0,0,0,4,14
Ob291,24/08/2012,"Dara, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,0,0,0,0,0,0,0,0
Ob292,24/08/2012,"Dre Nishter, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,0,0,0,0,0,0,0,0
Ob293,01/09/2012,Degan,unclear,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,2,3
Ob294,21/09/2012,unclear,unclear,North Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,2,3
Ob295,24/09/2012,Mosaki - Inzar Abad,Mirali,North Waziristan,Khyber Pakhtunkhwa,3,8,0,0,0,0,2,2
Ob296,01/10/2012,Khadar Khel,unclear,North Waziristan,Khyber Pakhtunkhwa,2,4,0,0,0,0,0,0
Ob297,10/10/2012,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,3,3
Ob298,11/10/2012,Buland Khel,unclear,Orakzai,Khyber Pakhtunkhwa,16,26,0,2,0,0,5,15
Ob299,24/10/2012,Miranshah,Miranshah,North Waziristan,Khyber Pakhtunkhwa,1,1,1,1,0,0,6,9
Ob300,29/11/2012,Shin Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,1,4,0,0,0,0,3,4
Ob301,01/12/2012,Shin Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,1,4,0,0,0,0,3,3
Ob302,06/12/2012,Noorak Mubarak Shahi area,Mirali,North Waziristan,Khyber Pakhtunkhwa,2,11,1,1,0,0,1,6
Ob303,09/12/2012,unclear,Ghulam Khan,North Waziristan,Khyber Pakhtunkhwa,2,4,0,3,0,0,0,0
Ob304,21/12/2012,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,2,2
Ob305,29/12/2012,"Gurbaz, Shawal",Miranshah,North Waziristan,Khyber Pakhtunkhwa,4,5,0,0,0,0,2,2
Ob306,02/01/2013,unclear,Barmal,South Waziristan,Khyber Pakhtunkhwa,6,11,0,0,0,0,0,0
Ob307,03/01/2013,Ghundi Killi,Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,1,1
Ob308,06/01/2013,Smal Narai area,Ladha,South Waziristan,Khyber Pakhtunkhwa,8,18,0,0,0,0,3,7
Ob309,08/01/2013,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,4,9,0,2,0,1,1,4
Ob310,08/01/2013,Malangan Hassokhel,Mirali,North Waziristan,Khyber Pakhtunkhwa,0,9,0,0,0,0,1,4
Ob311,10/01/2013,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,3,6,0,0,0,0,0,0
Ob312,06/02/2013,unclear,Spinwam,North Waziristan,Khyber Pakhtunkhwa,3,5,0,2,0,0,1,1
Ob313,08/02/2013,Babar Ghar,unclear,South Waziristan,Khyber Pakhtunkhwa,6,9,0,0,0,0,2,6
Ob314,10/03/2013,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,1,3,0,0,0,0,1,1
Ob315,22/03/2013,New Adda,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,1,4,0,0,0,0,1,1
Ob316,14/04/2013,unclear,Datta Khel,North Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,2,2
Ob317,17/04/2013,Pobar,Ladha,South Waziristan,Khyber Pakhtunkhwa,4,6,0,0,0,0,2,7
Ob318,29/05/2013,Qazi Kot,Miranshah,North Waziristan,Khyber Pakhtunkhwa,3,7,0,0,0,0,1,4
Ob319,07/06/2013,Tehsil Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,7,11,0,0,0,0,3,4
Ob320,03/07/2013,Tehsil Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,16,18,0,0,0,0,5,5
Ob321,13/07/2013,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,2,3,0,0,0,0,0,0
Ob322,28/07/2013,Tehsil Shawal,Miranshah,North Waziristan,Khyber Pakhtunkhwa,5,8,0,0,0,0,2,4
Ob323,31/08/2013,Mossaki,Mirali,North Waziristan,Khyber Pakhtunkhwa,3,4,0,0,0,0,1,3
