Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
YEM144,12/12/2013,unclear,Rada,ALBAYDA,12,17,8,16,0,0,5,30
YEM145,27/12/2013,Shibam,unclear,Hadramawt,1,6,0,0,0,0,0,0
YEM146,31/12/2013,unclear,Al Mahfid,Abyan,2,6,0,0,0,0,0,3
YEM147,06/01/2014,unclear,Rada,ALBAYDA,0,0,0,0,0,0,0,2
YEM148,08/01/2014,unclear,Al Qatn,Hadramawt,2,2,0,0,0,0,0,2
YEM149,15/01/2014,Shibam,unclear,Hadramawt,1,1,1,1,0,0,0,0
YEM150,24/01/2014,Wadi Abida,unclear,Marib,3,4,0,0,0,0,0,0
YEM151,03/02/2014,unclear,Al Mahfid,Abyan,0,4,0,0,0,0,0,2
YEM152,02/03/2014,Shabwan,unclear,Marib,2,3,0,0,0,0,2,2
YEM153,03/03/2014,unclear,Al Mahfid,Abyan,1,1,0,0,0,0,0,0
YEM154,03/03/2014,unclear,Rudum,Shabwah,2,4,0,0,0,0,2,2
YEM155,05/03/2014,Khalek,unclear,Jawf,2,4,0,0,0,0,0,0
YEM156,10/03/2014,Wadi Abida,unclear,Marib,1,4,0,1,0,1,0,0
YEM157,12/03/2014,unclear,Khabb wa ash Sha`f,Jawf,2,3,0,0,0,0,0,0
YEM158,01/04/2014,unclear,Al Mahfid,Abyan,3,3,0,0,0,0,4,4
YEM159,19/04/2014,unclear,ASSAWMAH,ALBAYDA,13,21,3,8,0,0,1,6
YEM160,20/04/2014,unclear,Al Mahfid,Abyan,24,31,1,1,1,1,1,3
YEM161,21/04/2014,unclear,Usaylan,Shabwah,3,4,1,1,1,1,0,0
YEM162,12/05/2014,Wadi Abida,unclear,Marib,4,6,0,0,0,0,0,0
YEM163,04/06/2014,Wadi Abida,unclear,Marib,3,4,0,0,0,0,0,0
YEM164,13/06/2014,Mafraq al Saeed,unclear,Marib,5,6,0,0,0,0,0,0
YEM165,21/06/2014,unclear,unclear,ALBAYDA,0,0,0,0,0,0,0,0
YEM166,09/08/2014,Wadi Abida,unclear,Marib,3,3,0,0,0,0,2,2
YEM167,16/08/2014,unclear,unclear,Hadramawt,3,3,0,0,0,0,0,0
YEM168,11/09/2014,unclear,unclear,Shabwah,4,5,0,0,0,0,0,0
YEM169,25/09/2014,unclear,Nisab,Shabwah,4,5,0,0,0,0,0,0
YEM170,26/09/2014,Khasaf,unclear,Jawf,2,3,0,0,0,0,3,3
YEM171,15/10/2014,Bani Assaf,Mayfaa,Shabwah,4,4,0,0,0,0,0,0
YEM172,24/10/2014,unclear,Rada,ALBAYDA,3,10,0,10,0,0,0,0
YEM173,26/10/2014,unclear,Rada,ALBAYDA,12,20,2,10,0,0,0,0
YEM174,04/11/2014,unclear,Rada,ALBAYDA,9,20,0,0,0,0,0,0
YEM175,12/11/2014,Azzan,unclear,Shabwah,6,8,0,0,0,0,0,0
YEM176,26/11/2014,unclear,Hajar as Say`ar,Hadramawt,7,7,0,0,0,0,0,0
YEM177,06/12/2014,unclear,Nisab,Shabwah,9,10,0,0,0,0,3,3
YEM178,06/12/2014,Dafaar,unclear,Shabwah,11,11,8,8,1,1,0,0
YEM179,26/01/2015,unclear,unclear,unclear,3,3,1,2,1,1,0,0
YEM180,31/01/2015,unclear,As Said,Shabwah,4,4,0,0,0,0,0,0
YEM181,02/02/2015,unclear,unclear,ALBAYDA,3,6,0,0,0,0,0,0
YEM182,20/02/2015,Al Houta,unclear,Shabwah,2,3,0,0,0,0,0,0
YEM183,28/02/2015,unclear,Bayhan,Shabwah,3,4,0,0,0,0,0,0
YEM184,01/03/2015,unclear,unclear,Shabwah,2,3,0,0,0,0,3,3
YEM185,12/04/2015,unclear,Al Mukalla,Hadramawt,3,7,0,0,0,0,0,0
YEM186,17/04/2015,unclear,Habban,Shabwah,2,2,0,0,0,0,0,0
YEM187,19/04/2015,unclear,As Said,Shabwah,2,6,0,0,0,0,0,0
YEM188,21/04/2015,unclear,Al Mukalla,Hadramawt,5,7,0,1,0,1,0,0
YEM189,08/05/2015,Mafraq,unclear,Shabwah,3,3,0,0,0,0,0,0
YEM190,10/05/2015,unclear,Ataq,Shabwah,1,4,0,0,0,0,0,0
YEM191,11/05/2015,unclear,Al Mukalla,Hadramawt,4,4,0,0,0,0,2,2
YEM192,16/05/2015,unclear,unclear,Shabwah,3,3,0,0,0,0,0,0
YEM193,22/05/2015,unclear,unclear,Shabwah,3,5,0,0,0,0,0,0
YEM194,02/06/2015,unclear,unclear,Jawf,5,20,0,0,0,0,0,0
YEM195,09/06/2015,unclear,Al Mukalla,Hadramawt,3,3,0,0,0,0,2,2
YEM196,25/06/2015,unclear,Al Mukalla,Hadramawt,4,5,0,0,0,0,2,2
YEM197,26/06/2015,Rafadh,unclear,Shabwah,4,4,0,0,0,0,0,0
YEM198,26/06/2015,unclear,Al Mukalla,Hadramawt,4,4,0,0,0,0,0,0
YEM199,03/07/2015,unclear,Al Mukalla,Hadramawt,4,4,0,0,0,0,0,0
YEM200,11/07/2015,unclear,Al Mukalla,Hadramawt,3,10,0,0,0,0,0,0
YEM201,29/07/2015,Wadi Dikha,unclear,Abyan,4,5,0,0,0,0,0,0
YEM202,12/08/2015,unclear,unclear,Hadramawt,5,5,0,0,0,0,0,0
YEM203,21/08/2015,unclear,Harib,Marib,3,3,0,0,0,0,0,0
YEM204,23/08/2015,unclear,Al Mukalla,Hadramawt,4,4,0,0,0,0,0,0
YEM205,26/08/2015,unclear,Al Mukalla,Hadramawt,5,5,0,0,0,0,0,0
YEM206,09/09/2015,unclear,Al Mukalla,Hadramawt,3,6,0,4,0,0,2,2
YEM207,11/09/2015,unclear,unclear,unclear,4,4,0,0,0,0,0,0
YEM208,12/09/2015,unclear,Al Mukalla,Hadramawt,4,5,0,0,0,0,0,0
YEM209,21/09/2015,Marib city,Marib,Marib,2,2,0,0,0,0,0,0
YEM210,22/12/2015,unclear,unclear,unclear,4,4,0,0,0,0,0,0
YEM211,15/01/2016,Rafadh,unclear,Shabwah,3,3,0,0,0,0,0,0
YEM212,19/01/2016,unclear,Sayun,Hadramawt,2,2,0,0,0,0,0,0
YEM213,03/02/2016,Rawda,Arrawdah,Shabwah,6,6,0,0,0,0,0,0
YEM214,03/02/2016,Maraquesha,unclear,Abyan,3,3,0,0,0,0,0,0
YEM215,15/02/2016,Huta,unclear,Lahij,3,3,0,0,0,0,0,0
YEM216,29/02/2016,unclear,unclear,Hadramawt,3,3,0,0,0,0,0,0
YEM217,04/03/2016,unclear,Rudum,Shabwah,4,4,0,0,0,0,0,0
YEM218,22/03/2016,unclear,Hajar,Hadramawt,50,71,0,0,0,0,28,30
YEM219,26/03/2016,Al Hudhn and Naqeel al Hayala villages,unclear,Abyan,8,8,0,0,0,0,0,0
YEM220,26/03/2016,unclear,Zinjibar,Abyan,6,6,0,0,0,0,0,0
YEM221,28/03/2016,unclear,Al Mukalla,Hadramawt,5,5,3,3,0,0,0,0
YEM222,30/03/2016,Azzan,unclear,Shabwah,2,5,0,0,0,0,0,0
YEM223,30/03/2016,unclear,Al Mukalla,Hadramawt,0,0,0,0,0,0,0,0
