Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
SOM112,19/11/2018,Mudug,Hobyo,Debatscile,27,27,0,0,0,0,0,0
SOM113,19/11/2018,Mudug,Hobyo,Debatscile,10,10,0,0,0,0,0,0
SOM114,20/11/2018,Mudug,Harardere,Qeycad,7,7,0,0,0,0,0,0
SOM115,21/11/2018,Mudug,Harardere,Unknown,6,6,0,0,0,0,0,0
SOM116,21/11/2018,Mudug,Harardere,Unknown,0,0,0,0,0,0,0,0
SOM117,27/11/2018,Mudug,Harardere,Qeycad,3,3,0,0,0,0,0,0
SOM118,30/11/2018,Bay,unclear,Lebede,9,9,0,0,0,0,0,0
SOM119,04/12/2018,Shabeellaha Hoose,Afgooye,Awdheegle,4,4,0,0,0,0,0,0
SOM120,08/12/2018,unclear,unclear,Unknown,4,4,0,1,0,0,0,1
SOM121,15/12/2018,Shabeellaha Hoose,Marka,Gandarshe,34,34,0,0,0,0,0,0
SOM122,16/12/2018,Shabeellaha Hoose,Marka,Gandarshe,28,28,0,0,0,0,0,0
SOM123,19/12/2018,unclear,unclear,Unknown,11,11,0,0,0,0,0,0
SOM124,02/01/2019,Shabeellaha Hoose,unclear,unclear,10,10,0,0,0,0,0,0
SOM125,06/01/2019,Shabeellaha Hoose,unclear,unclear,6,6,0,0,0,0,0,0
SOM126,07/01/2019,Jubbada Hoose,Jamaame,Baqdaad,4,4,0,0,0,0,0,0
SOM127,08/01/2019,Bay,Dinsoor,Yaaq Braawe,6,6,0,0,0,0,0,0
SOM128,19/01/2019,Jubbada Dhexe,Jilib,Unknown,52,52,0,0,0,0,0,0
SOM129,23/01/2019,Jubbada Dhexe,Jilib,Unknown,0,0,0,0,0,0,0,0
SOM130,30/01/2019,Hiiraan,Beledweyne,Shebeeley,24,24,0,0,0,0,0,0
SOM131,01/02/2019,Shabeellaha Hoose,Marka,Gandarshe,13,13,0,0,0,0,0,0
SOM132,03/02/2019,Shabeellaha Hoose,Marka,Gandarshe,0,0,0,0,0,0,0,0
SOM133,05/02/2019,Bay,BURHACABA,Leego,0,0,0,0,0,0,0,0
SOM134,06/02/2019,Shabeellaha Hoose,Marka,Gandarshe,11,11,0,0,0,0,0,0
SOM135,07/02/2019,Shabeellaha Hoose,Afgooye,Bariire,4,4,0,0,0,0,0,0
SOM136,08/02/2019,Jubbada Hoose,Jamaame,Kobon,8,8,0,0,0,0,0,0
SOM137,11/02/2019,Shabeellaha Hoose,unclear,unclear,12,13,0,13,0,0,0,0
SOM138,23/02/2019,Jubbada Dhexe,Jilib,Qunyo Barrow,2,4,0,3,0,1,0,0
SOM139,23/02/2019,Shabeellaha Hoose,Afgooye,Awdheegle,0,3,0,0,0,0,0,0
SOM140,23/02/2019,Shabeellaha Hoose,unclear,unclear,0,2,0,0,0,0,0,0
SOM141,24/02/2019,Hiiraan,Beledweyne,Unknown,35,35,0,0,0,0,0,0
SOM142,25/02/2019,Hiiraan,Beledweyne,Shebeeley,20,20,0,0,0,0,0,0
SOM143,28/02/2019,Hiiraan,unclear,Unknown,26,26,0,0,0,0,0,0
SOM144,11/03/2019,Shabeellaha Hoose,unclear,Dar es Salaam,8,8,0,7,0,0,0,1
SOM145,12/03/2019,Shabeellaha Hoose,unclear,Huley,2,2,0,0,0,0,0,0
SOM146,13/03/2019,Jubbada Hoose,Jamaame,Malayle,3,3,0,0,0,0,0,0
SOM147,18/03/2019,Shabeellaha Hoose,Afgooye,Awdheegle,3,7,0,4,0,0,0,0
SOM148,09/04/2019,Jubbada Dhexe,Jilib,Unknown,1,1,0,0,0,0,0,0
SOM149,11/04/2019,Shabeellaha Hoose,Kurtunwaarey,Garowle,2,2,0,0,0,0,0,0
SOM150,14/04/2019,Bari,ISKUSHUBAN,Xiriiro,1,1,0,0,0,0,0,0
SOM151,19/04/2019,Jubbada Hoose,Jamaame,unclear,2,2,0,0,0,0,0,0
SOM152,26/04/2019,Togdheer,unclear,Unknown,3,3,0,0,0,0,0,0
SOM153,05/05/2019,Shabeellaha Hoose,Wanlaweyn,Tortoroow,3,3,0,0,0,0,0,0
SOM154,08/05/2019,Togdheer,unclear,Unknown,13,13,0,0,0,0,0,0
SOM155,09/05/2019,Togdheer,unclear,Unknown,4,4,0,0,0,0,0,0
SOM156,22/05/2019,Togdheer,unclear,Unknown,2,2,0,0,0,0,0,0
SOM157,22/05/2019,Shabeellaha Hoose,Wanlaweyn,Balcad,2,2,0,0,0,0,0,0
SOM158,24/05/2019,Togdheer,unclear,Unknown,3,3,0,0,0,0,0,0
SOM159,26/05/2019,Togdheer,unclear,Unknown,3,3,0,0,0,0,0,0
SOM160,04/06/2019,Togdheer,unclear,Unknown,6,6,0,0,0,0,0,0
SOM161,05/06/2019,Shabeellaha Hoose,Wanlaweyn,Tortoroow,1,1,0,0,0,0,0,0
SOM162,16/06/2019,unclear,unclear,Unknown,2,2,0,0,0,0,0,0
SOM163,24/06/2019,unclear,unclear,Unknown,1,1,0,0,0,0,0,0
SOM164,25/06/2019,Jubbada Dhexe,Jilib,Qunyo Barrow,1,1,0,0,0,0,0,0
SOM165,27/07/2019,Togdheer,unclear,Unknown,1,1,0,0,0,0,0,0
SOM166,20/08/2019,Jubbada Dhexe,Jilib,Qunyo Barrow,1,1,0,0,0,0,0,0
SOM167,03/09/2019,unclear,unclear,Unknown,1,1,0,0,0,0,0,0
SOM168,17/09/2019,Jubbada Hoose,unclear,unclear,2,2,0,0,0,0,0,0
SOM168a,24/09/2019,Shabeellaha Hoose,Qoryooley,Ugunji,0,0,0,0,0,0,0,0
SOM169,30/09/2019,Shabeellaha Hoose,Wanlaweyn,Bahle Dogli,10,10,0,0,0,0,0,0
SOM170,30/09/2019,Jubbada Dhexe,Jilib,Qunyo Barrow,1,1,0,0,0,0,0,0
SOM171,25/10/2019,unclear,unclear,Unknown,3,3,0,2,0,0,0,1
SOM172,12/11/2019,unclear,unclear,Unknown,1,1,0,0,0,0,0,0
SOM173,19/11/2019,Jubbada Dhexe,Jilib,Qunyo Barrow,1,1,0,0,0,0,0,0
SOM174,30/11/2019,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM175,09/12/2019,Jubbada Dhexe,Saakow,Unknown,1,1,0,0,0,0,0,0
SOM176,16/12/2019,Jubbada Dhexe,Buaale,Dujuuma,1,1,0,0,0,0,0,0
SOM177,29/12/2019,Jubbada Dhexe,Jilib,Qunyo Barrow,2,2,0,0,0,0,0,0
SOM178,29/12/2019,unclear,unclear,Unknown,2,2,0,0,0,0,0,0
SOM179,03/01/2020,Shabeellaha Hoose,Afgooye,Bacaw,3,3,0,0,0,0,0,0
SOM180,16/01/2020,Jubbada Dhexe,Jilib,Qunyo Barrow,2,2,0,0,0,0,0,0
SOM181,19/01/2020,Jubbada Hoose,Jamaame,Bangeeni,3,3,0,0,0,0,0,0
SOM182,26/01/2020,Jubbada Hoose,Jamaame,Unknown,0,0,0,0,0,0,0,0
SOM183,27/01/2020,unclear,unclear,Unknown,1,1,0,1,0,0,0,0
SOM184,29/01/2020,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM185,02/02/2020,unclear,unclear,Unknown,1,2,0,1,0,0,0,2
SOM186,04/02/2020,Jubbada Hoose,unclear,Unknown,1,1,0,0,0,0,0,0
SOM187,06/02/2020,unclear,unclear,Unknown,0,0,0,0,0,0,2,2
SOM188,17/02/2020,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM189,19/02/2020,unclear,unclear,Unknown,3,3,0,0,0,0,0,0
