Strike ID,Date,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_3
Ob8,25/03/2009,Makeen,South Waziristan,6,8,0,0,0,0,5,5,Unknown
Ob9,26/03/2009,Sokhel,North Waziristan,4,5,0,5,0,0,5,5,Unknown
Ob10,01/04/2009,Khadezai,Orakzai Agency,10,14,5,5,3,3,4,16,Unknown
Ob11,04/04/2009,Datta Khel,North Waziristan,13,15,8,13,3,5,1,1,Unknown
Ob12,08/04/2009,Ganki Khel,South Waziristan,3,4,0,0,0,0,2,5,Unknown
Ob13,19/04/2009,Ganki Khel,South Waziristan,0,8,0,8,0,0,3,5,Unknown
Ob14,29/04/2009,Kaniguram,South Waziristan,1,10,0,4,0,0,4,4,Unknown
Ob15,09/05/2009,Tabbi Langhar Khel,South Waziristan,6,25,0,4,0,0,7,10,Unknown
Ob16,12/05/2009,Sara Khwara,South Waziristan,5,9,0,0,0,0,4,4,Unknown
Ob17,16/05/2009,Khesoor,North Waziristan,25,40,9,9,0,0,2,2,Unknown
Ob18,14/06/2009,Marda Algad,South Waziristan,3,5,0,3,0,0,0,0,Unknown
Ob19,18/06/2009,Wana,South Waziristan,12,18,4,4,0,0,10,10,Unknown
Ob20,23/06/2009,Makeen,South Waziristan,5,6,0,0,0,0,7,7,Unknown
Ob21,23/06/2009,Makeen,South Waziristan,60,83,18,50,10,10,27,27,Unknown
Ob22,03/07/2009,Mantoi,South Waziristan,0,5,0,5,0,0,0,0,Unknown
Ob23,03/07/2009,Zamarai Nairai,South Waziristan,10,17,0,0,0,0,27,35,Unknown
Ob24,07/07/2009,Makeen,South Waziristan,14,18,0,0,0,0,10,10,Unknown
Ob25,08/07/2009,Ladha,South Waziristan,8,10,0,0,0,0,5,12,Unknown
Ob26,08/07/2009,Ladha,South Waziristan,35,40,0,0,0,0,1,1,Unknown
Ob27,10/07/2009,Painda Khel,South Waziristan,3,5,0,0,0,0,3,3,Unknown
Ob28,17/07/2009,Gariwam,North Waziristan,5,6,0,0,0,0,4,6,Unknown
Ob29,05/08/2009,Ladha,South Waziristan,1,12,1,4,0,0,5,5,Unknown
Ob30,11/08/2009,Ladha,South Waziristan,12,25,0,6,4,4,5,7,Unknown
Ob31,21/08/2009,Danda Darpakhel,North Waziristan,17,21,9,13,6,6,2,2,Unknown
Ob32,27/08/2009,Taparghai,South Waziristan,8,10,0,0,0,0,6,9,Unknown
Ob33,07/09/2009,Machi Khel,North Waziristan,5,8,3,3,0,0,2,7,Unknown
Ob34,08/09/2009,Darga Mandi,North Waziristan,10,15,5,5,3,3,4,5,Unknown
Ob35,14/09/2009,Toorikhel,North Waziristan,5,5,0,0,0,0,2,3,Unknown
Ob36,24/09/2009,Mir Ali,North Waziristan,10,12,0,12,0,0,5,5,Unknown
Ob37,29/09/2009,Sararogha,South Waziristan,5,6,0,0,0,0,2,6,Unknown
Ob38,29/09/2009,Danda Darpakhel,North Waziristan,4,9,0,4,0,0,2,6,Unknown
Ob39,30/09/2009,Norak,North Waziristan,6,9,0,0,0,0,2,5,Unknown
Ob40,15/10/2009,Danda Darpakhel,North Waziristan,3,4,0,0,0,0,7,7,Unknown
Ob41,21/10/2009,Spalaga,North Waziristan,3,3,0,0,0,0,8,8,Unknown
Ob42,24/10/2009,Damadola,Bajaur Agency,20,30,0,0,0,0,8,8,Unknown
Ob43,05/11/2009,Norak,North Waziristan,4,6,0,0,0,0,8,8,Unknown
Ob44,18/11/2009,Shanakorah,North Waziristan,3,6,0,0,0,0,2,15,Unknown
Ob45,20/11/2009,Machi Khel,North Waziristan,3,14,3,3,1,1,2,12,Unknown
Ob46,08/12/2009,Spalaga,North Waziristan,3,4,0,0,0,0,3,3,Unknown
Ob47,10/12/2009,Ladha,South Waziristan,6,6,0,0,0,0,8,8,Unknown
Ob48,17/12/2009,Datta Khel,North Waziristan,2,2,0,0,0,0,0,0,Unknown
