matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SYAHCHOB,1,['27/10/2015'],[11],[12],[0],[1],[0],[0],[0],[0],9092719.0,AF-NAN,Syāhchōb,Syahchob,34.176807,70.725487
TABELONAW,1,['31/07/2017'],[7],[7],[0],[0],[0],[0],[0],[0],6272839.0,AF-KNR,Tabēlo Nāw,Tabelo Naw,34.982979,71.4348
TALAWKA,2,"['08/03/2019', '23/03/2019']","[0, 13]","[1, 22]","[0, 13]","[1, 14]","[0, 10]","[0, 10]","[0, 6]","[0, 6]",-3394484.0,AF-KDZ,Talawka,Talawka,36.800608,68.802784
TAMIN,1,['16/08/2018'],[1],[1],[0],[0],[0],[0],[1],[1],9106884.0,AF-LAG,Tamin,Tamin,34.873858,70.110373
TANGAI,3,"['08/07/2015', '22/09/2016', '27/02/2019']","[25, 18, 0]","[52, 18, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 6, 0]","[0, 6, 0]",-3394648.0,AF-NAN,Tangaī,Tangai,34.089191,70.523857
TARAKI,1,['18/06/2016'],[8],[8],[0],[0],[0],[0],[0],[0],9102241.0,AF-NAN,Tarakī,Taraki,34.309574,70.415817
TARINKOT,3,"['09/09/2016', '31/05/2017', '09/02/2019']","[0, 25, 0]","[0, 25, 7]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 20, 0]","[0, 20, 0]",-3394816.0,AF-URU,Taṟīn Kōt,Tarin Kot,32.62675,65.873313
TSAPIRIGHAR,1,['04/08/2017'],[50],[50],[0],[0],[0],[0],[3],[3],6177871.0,AF-KHO,Tsapīrī Ghar,Tsapiri Ghar,33.539944,69.778598
WACHGHRAK,1,['11/10/2017'],[4],[4],[0],[0],[0],[0],[3],[3],-3395739.0,AF-PIA,Wach Ghṟak,Wach Ghrak,33.7239,69.29525
WAL,1,['04/11/2016'],[5],[5],[0],[0],[0],[0],[0],[0],-3395785.0,AF-FRA,Wāl,Wal,32.861475,63.894401
WAZIR,2,"['03/07/2016', '06/02/2017']","[11, 2]","[11, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 3]","[5, 3]",-3395938.0,AF-NAN,Waziṟ,Wazir,34.199594,70.162178
WAZIROTANGAI,2,"['01/12/2017', '19/09/2019']","[4, 8]","[4, 30]","[0, 8]","[0, 30]","[0, 0]","[0, 0]","[8, 0]","[8, 40]",-3395944.0,AF-NAN,Wazīrō Tangaī,Waziro Tangai,34.115339,69.976209
YAKHCHAL,1,['30/04/2017'],[7],[7],[0],[0],[0],[0],[0],[0],-3396225.0,AF-HEL,Yakhchal’,Yakhchal',31.790013,64.682892
YUSUFKHEL,1,['11/06/2015'],[2],[2],[0],[0],[0],[0],[0],[0],-3396425.0,AF-PKA,Yūsuf Khel,Yusuf Khel,33.048527,68.653584
ZARGARAN,1,['11/06/2016'],[6],[6],[0],[0],[0],[0],[0],[0],9102298.0,AF-NAN,Zargarān,Zargaran,34.284676,70.382446
ZARIFANNAWAR,1,['15/07/2017'],[0],[38],[0],[0],[0],[0],[0],[0],-3396728.0,AF-HEL,Z̧arīfān Nāwar,Zarifan Nawar,30.679166,64.507565
unclear,44,"['18/02/2015', '10/03/2015', '09/05/2015', '03/06/2015', '08/06/2015', '30/06/2015', '02/08/2015', '08/08/2015', '13/09/2015', '17/09/2015', '14/11/2015', '22/12/2015', '23/12/2015', '29/12/2015', '22/01/2016', '08/02/2016', '26/02/2016', '21/03/2016', '22/03/2016', '07/04/2016', '16/05/2016', '11/06/2016', '21/06/2016', '25/06/2016', '16/07/2016', '27/07/2016', '22/09/2016', '22/09/2016', '27/11/2016', '18/05/2017', '18/05/2017', '29/06/2017', '02/07/2017', '23/07/2017', '09/08/2017', '11/10/2017', '20/10/2017', '14/11/2017', '09/05/2018', '09/05/2018', '27/05/2018', '25/02/2019', '13/03/2019', '01/03/2020']","[8, 6, 13, 3, 7, 4, 4, 10, 4, 5, 12, 3, 3, 2, 10, 11, 3, 8, 2, 14, 3, 6, 5, 7, 15, 6, 7, 5, 7, 14, 9, 2, 15, 0, 8, 11, 10, 6, 6, 35, 6, 0, 5, 6]","[8, 6, 13, 6, 7, 14, 4, 10, 5, 5, 13, 3, 3, 2, 10, 11, 3, 8, 8, 21, 3, 6, 5, 16, 15, 6, 7, 5, 7, 14, 9, 4, 15, 33, 8, 11, 10, 6, 6, 35, 6, 30, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 12, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 8, 0, 0, 9, 0, 0, 2, 0, 0, 0, 0, 5, 0, 10, 0]","[0, 0, 0, 0, 0, 12, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 8, 0, 3, 9, 25, 0, 2, 0, 0, 0, 0, 5, 4, 10, 0]",,,,,,
